"Title: Medicaid Income Eligibility Limits for Children Ages 6-18, 2000-2015",,,,,,,,,,,,,,,
"Timeframe: Oct 2000-Jan 2015",,,,,,,,,,,,,,,
"Notes: See http://kff.org/medicaid/state-indicator/medicaid-income-eligibility-limits-for-children-ages-6-18-2000-2015/ for notes and sources.",,,,,,,,,,,,,,,
Location,"October 2000","January 2002","April 2003","July 2004","July 2005","July 2006","January 2008","January 2009","December 2009","January 2011","January 2012","January 2013","January 2014","January 2015"
"United States",145,145,140,140,140,133,133,133,133,133,133,133,155,155
Alabama,100,100,100,100,100,100,100,100,100,100,100,100,146,146
Alaska,200,200,200,175,175,175,175,175,175,175,175,175,208,208
Arizona,100,100,100,100,100,100,100,100,100,100,100,100,138,138
Arkansas,200,200,200,200,200,200,200,200,200,200,200,200,216,216
California,100,100,100,100,100,100,100,100,100,100,100,100,266,266
Colorado,100,100,100,100,100,100,100,100,100,100,100,133,147,147
Connecticut,185,185,185,185,185,185,185,185,185,185,185,185,201,201
Delaware,100,100,100,100,100,100,100,100,100,100,100,100,138,138
"District of Columbia",200,200,200,200,200,200,300,300,300,300,300,300,324,324
Florida,100,100,100,100,100,100,100,100,100,100,100,100,138,138
Georgia,100,100,100,100,100,100,100,100,100,100,100,100,138,138
Hawaii,200,200,200,200,200,300,300,300,300,300,300,300,313,313
Idaho,150,150,150,150,150,100,133,133,133,133,133,133,138,155
Illinois,133,133,133,133,133,133,133,133,133,133,133,133,147,147
Indiana,150,150,150,150,150,150,150,150,150,150,150,150,163,163
Iowa,133,133,133,133,133,133,133,133,133,133,133,133,172,172
Kansas,100,100,100,100,100,100,100,100,100,100,100,100,138,138
Kentucky,150,150,150,150,150,150,150,150,150,150,150,150,164,164
Louisiana,150,200,200,200,200,200,200,200,200,200,200,200,217,217
Maine,150,150,150,150,150,150,150,150,150,150,150,150,162,162
Maryland,200,200,200,200,200,200,300,300,300,300,300,300,322,322
Massachusetts,150,150,150,150,150,150,150,150,150,150,150,150,155,155
Michigan,150,150,150,150,150,150,150,150,150,150,150,150,165,165
Minnesota,275,275,275,275,275,275,275,275,275,275,275,275,280,280
Mississippi,100,100,100,100,100,100,100,100,100,100,100,100,138,138
Missouri,300,300,300,300,300,300,150,150,150,150,150,150,155,155
Montana,100,100,100,100,100,100,100,100,133,133,133,133,148,148
Nebraska,185,185,185,185,185,185,185,185,200,200,200,200,218,218
Nevada,100,100,100,100,100,100,100,100,100,100,100,100,138,138
"New Hampshire",185,185,185,185,185,185,185,185,185,185,185,300,323,323
"New Jersey",133,133,133,133,133,133,133,133,133,133,133,133,147,147
"New Mexico",235,235,235,235,235,235,235,235,235,235,235,235,245,245
"New York",100,133,133,100,100,100,100,100,100,100,133,133,154,154
"North Carolina",100,100,100,100,100,100,100,100,100,100,100,100,138,138
"North Dakota",100,100,100,100,100,100,100,100,100,100,100,100,138,138
Ohio,200,200,200,200,200,200,200,200,200,200,200,200,211,211
Oklahoma,185,185,185,185,185,185,185,185,185,185,185,185,210,210
Oregon,100,100,100,100,100,100,100,100,100,100,100,100,138,138
Pennsylvania,100,100,100,100,100,100,100,100,100,100,100,100,138,138
"Rhode Island",250,250,250,250,250,250,250,250,250,250,250,250,266,266
"South Carolina",150,150,150,150,150,150,150,150,150,200,200,200,213,213
"South Dakota",140,140,140,140,140,140,140,140,140,140,140,140,187,187
Tennessee,"No Upper Limit","No Upper Limit",100,100,100,100,100,100,100,100,100,100,138,138
Texas,100,100,100,100,100,100,100,100,100,100,100,100,138,138
Utah,100,100,100,100,100,100,100,100,100,100,100,100,138,138
Vermont,300,300,300,300,300,300,300,300,300,300,300,300,318,317
Virginia,100,100,133,133,133,133,133,133,133,133,133,133,148,148
Washington,200,200,200,200,200,200,200,200,200,200,200,200,212,215
"West Virginia",100,100,100,100,100,100,100,100,100,100,100,100,138,138
Wisconsin,185,185,185,185,185,185,185,300,300,300,150,150,156,156
Wyoming,100,100,100,100,100,100,100,100,100,100,100,100,138,138
