"Title: Medicaid Income Eligibility Limits for Parents, 2002-2023 | KFF"
"Timeframe: Jan 2002-Jan 2023"
"Location","January 2002","April 2003","July 2004","July 2005","July 2006","January 2008","January 2009","December 2009","January 2011","January 2012","January 2013","January 2014","January 2015","January 2016","January 2017","January 2018","January 2019","January 2020","January 2021","January 2022","January 2023",Footnotes
"United States","0.68","0.71","0.69","0.67","0.65","0.63","0.68","0.64","0.64","0.63","0.64","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1"
"Alabama","0.21","0.20","0.19","0.19","0.26","0.26","0.25","0.24","0.24","0.24","0.23","0.16","0.18","0.18","0.18","0.18","0.18","0.18","0.18","0.18","0.18"
"Alaska","0.79","0.81","0.81","0.81","0.81","0.81","0.85","0.81","0.81","0.81","0.78","1.28","1.46","1.43","1.41","1.39","1.38","1.38","1.38","1.38","1.38"
"Arizona","1.07","2.00","2.00","2.00","2.00","2.00","2.00","1.06","1.06","1.06","1.06","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"Arkansas","0.21","0.20","0.20","0.19","0.18","0.18","0.17","0.17","0.17","0.17","0.16","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"California","1.07","1.07","1.07","1.07","1.07","1.06","1.06","1.06","1.06","1.06","1.06","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"Colorado","0.42","0.47","0.39","0.38","0.67","0.66","0.66","0.66","1.06","1.06","1.06","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"Connecticut","1.57","1.07","1.07","1.57","1.57","1.91","1.91","1.91","1.91","1.91","1.91","2.01","2.01","1.55","1.55","1.38","1.55","1.60","1.60","1.60","1.60"
"Delaware","1.22","1.20","1.17","1.07","1.07","1.06","1.21","1.21","1.20","1.19","1.20","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"District of Columbia","2.00","2.00","2.00","2.00","2.07","2.07","2.07","2.07","2.07","2.06","2.06","2.21","2.21","2.21","2.21","2.21","2.21","2.21","2.21","2.21","2.21"
"Florida","0.66","0.63","0.62","0.60","0.58","0.56","0.55","0.53","0.59","0.58","0.56","0.35","0.34","0.34","0.33","0.33","0.32","0.31","0.31","0.30","0.28"
"Georgia","0.62","0.59","0.58","0.56","0.55","0.53","0.52","0.50","0.50","0.49","0.48","0.39","0.38","0.37","0.37","0.36","0.35","0.35","0.35","0.33","0.31"
"Hawaii","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38","1.38"
"Idaho","0.33","0.32","0.31","0.30","0.43","0.42","0.28","0.27","0.39","0.39","0.37","0.27","0.27","0.26","0.26","0.26","0.25","1.38","1.38","1.38","1.38"
